"code","term_description_r2","term_description_r3"
"B14y.","Malignant neoplasm of other sites of rectum - rectosigmoid junction and anus","Malignant neoplasm of other sites of rectum - rectosigmoid junction and anus"
"B14z.","Malignant neoplasm of rectum - rectosigmoid junction and anus NOS","Malignant neoplasm of rectum - rectosigmoid junction and anus NOS"
"B1z1.","Malignant neoplasm of spleen NEC","Malignant neoplasm of spleen NEC"
"B1z10","Angiosarcoma of spleen","Angiosarcoma of spleen"
"B1z11","Fibrosarcoma of spleen","Fibrosarcoma of spleen"
"B1z1z","Malignant neoplasm of spleen NOS","Malignant neoplasm of spleen NOS"
"B1z2.","Malignant neoplasm - overlapping lesion of digestive system","Malignant neoplasm - overlapping lesion of digestive system"
"B575.","Secondary malignant neoplasm of large intestine and rectum","Secondary malignant neoplasm of large intestine(AND/OR?[rectum]); Secondary malignant neoplasm of large intestine and rectum"
"B5750","Secondary malignant neoplasm of colon","Secondary malignant neoplasm of colon"
"B5751","Secondary malignant neoplasm of rectum","Secondary malignant neoplasm of rectum"
"B575z","Secondary malignant neoplasm of large intestine or rectum NOS","Secondary malignant neoplasm of large intestine or rectum NOS"
"B803.","Carcinoma in situ of colon","Carcinoma in situ of colon"
"B8030","Carcinoma in situ of hepatic flexure of colon","Carcinoma in situ of hepatic flexure; Carcinoma in situ of hepatic flexure of colon"
"B8031","Carcinoma in situ of transverse colon","Carcinoma in situ of transverse colon"
"B8032","Carcinoma in situ of descending colon","Carcinoma in situ of descending colon"
"B8033","Carcinoma in situ of sigmoid colon","Carcinoma in situ of sigmoid colon"
"B8034","Carcinoma in situ of caecum","Carcinoma in situ of caecum"
"B8035","Carcinoma in situ of appendix","Carcinoma in situ of appendix"
"B8036","Carcinoma in situ of ascending colon","Carcinoma in situ of ascending colon"
"B8037","Carcinoma in situ of splenic flexure of colon","Carcinoma in situ of splenic flexure; Carcinoma in situ of splenic flexure of colon"
"B8038","High grade dysplasia of colon","See XaZfN"
"B803z","Carcinoma in situ of colon NOS","Carcinoma in situ of colon NOS"
"B804.","Carcinoma in situ of rectum and rectosigmoid junction","Carcinoma in situ of rectum and rectosigmoid junction"
"B8040","Carcinoma in situ of rectosigmoid junction","Carcinoma in situ of rectosigmoid junction"
"B8041","Carcinoma in situ of rectum","Carcinoma in situ of rectum"
"B804z","Carcinoma in situ of rectum or rectosigmoid junction NOS","Carcinoma in situ of rectum or rectosigmoid junction NOS"
"B9021","Neoplasm of uncertain behaviour of duodenum","Neoplasm of uncertain behaviour of duodenum"
"B9022","Neoplasm of uncertain behaviour of jejunum","Neoplasm of uncertain behaviour of jejunum"
"B9023","Neoplasm of uncertain behaviour of ileum","Neoplasm of uncertain behaviour of ileum"
"B9024","Neoplasm of uncertain behaviour of colon","Neoplasm of uncertain behaviour of colon"
"B9025","Neoplasm of uncertain behaviour of rectum","Neoplasm of uncertain behaviour of rectum"
"B9026","Neoplasm of uncertain or unknown behaviour of appendix","Neoplasm of uncertain or unknown behaviour of appendix"
"BB5N.","[M]Adenomatous and adenocarcinomatous polyps of colon; [M]Adenoma or or adenocarcinoma in polyposis coli","[M]Adenomatous and/or adenocarcinomatous polyps of colon (& [adenoma or adenocarcinoma in polyposis coli]); [M]Adenomatous and adenocarcinomatous polyps of colon; [M]Adenoma or or adenocarcinoma in polyposis coli"
"BB5N0","[M]Adenomatous polyposis coli; [M]Adenomatosis NOS; [M]Familial polyposis coli","[M]Adenomatous polyposis coli; [M]Familial polyposis coli"
"BB5N1","[M]Adenocarcinoma in adenomatous polposis coli","Adenocarcinoma in adenomatous polyposis coli"
"BB5N2","[M]Multiple adenomatous polyps; [M]Multiple polyposis","Multiple adenomatous polyps"
"BB5Nz","[M]Adenomatous or adenocarcinomatous polyps of the colon NOS","[M]Adenomatous or adenocarcinomatous polyps of the colon NOS"
"X78OW","NA","Malignant tumour of cloacogenic zone; Malignant neoplasm of cloacogenic zone"
"XaFsw","NA","Hereditary nonpolyposis colon cancer; HNPCC - hereditary nonpolyposis colon cancer; Lynch syndrome"
"XaZfN","NA","High grade dysplasia of colon"
